Accident_ID,Date,Road_Name,Vehicle_Type,Weather,Severity,City,Injuries
81,2026-04-18,Sohna Road,Bus,Fog,Major,Gurugram,8
82,2026-03-13,Airport Road,Car,Fog,Fatal,Delhi,6
83,2026-04-03,Sohna Road,Bike,Rain,Fatal,Faridabad,5
84,2026-05-06,Ring Road,SUV,Fog,Minor,Noida,7
85,2026-04-14,Ring Road,Truck,Rain,Major,Faridabad,8
86,2026-01-10,Ring Road,Truck,Cloudy,Minor,Faridabad,6
87,2026-06-02,Airport Road,Bike,Rain,Major,Delhi,1
88,2026-05-17,Airport Road,SUV,Cloudy,Minor,Gurugram,0
89,2026-03-27,Sohna Road,Bike,Clear,Minor,Gurugram,4
90,2026-04-28,Ring Road,Bike,Fog,Minor,Noida,0
91,2026-01-11,GT Road,Bus,Rain,Fatal,Delhi,3
92,2026-04-20,Ring Road,Truck,Rain,Fatal,Delhi,7
93,2026-02-25,MG Road,Car,Fog,Major,Gurugram,5
94,2026-05-23,Airport Road,Bike,Rain,Fatal,Noida,3
95,2026-06-03,GT Road,Car,Rain,Major,Noida,7
96,2026-02-13,GT Road,Bus,Fog,Major,Delhi,6
97,2026-01-08,GT Road,Car,Fog,Fatal,Gurugram,2
98,2026-05-13,Sohna Road,Truck,Cloudy,Minor,Noida,6
99,2026-06-01,NH-48,Truck,Rain,Minor,Noida,6
100,2026-02-02,Airport Road,Bus,Cloudy,Major,Faridabad,2
101,2026-04-22,Ring Road,Car,Clear,Major,Noida,4
102,2026-03-21,NH-48,SUV,Clear,Fatal,Delhi,3
103,2026-01-17,Ring Road,SUV,Cloudy,Minor,Gurugram,5
104,2026-04-08,GT Road,Bike,Fog,Minor,Delhi,8
105,2026-02-13,NH-48,Bus,Fog,Fatal,Delhi,8
106,2026-05-15,Ring Road,SUV,Cloudy,Minor,Noida,0
107,2026-02-23,Airport Road,Car,Clear,Major,Delhi,1
108,2026-01-27,Sohna Road,Bus,Clear,Major,Faridabad,6
109,2026-01-06,Sohna Road,Car,Rain,Major,Gurugram,8
110,2026-06-07,NH-48,Truck,Fog,Major,Gurugram,7
111,2026-01-28,Ring Road,Bus,Cloudy,Major,Delhi,0
112,2026-06-25,GT Road,SUV,Clear,Fatal,Gurugram,0
113,2026-01-14,Ring Road,Bus,Fog,Fatal,Faridabad,1
114,2026-01-24,GT Road,Car,Fog,Minor,Faridabad,7
115,2026-01-17,NH-48,SUV,Clear,Fatal,Faridabad,4
116,2026-01-09,Ring Road,Car,Cloudy,Major,Delhi,1
117,2026-03-20,Sohna Road,Car,Fog,Fatal,Gurugram,1
118,2026-02-03,Ring Road,SUV,Cloudy,Major,Gurugram,2
119,2026-02-22,MG Road,SUV,Clear,Fatal,Delhi,0
120,2026-06-01,Ring Road,Bus,Fog,Minor,Faridabad,3
121,2026-06-19,Ring Road,Truck,Rain,Major,Gurugram,7
122,2026-01-30,GT Road,Bus,Rain,Major,Gurugram,4
123,2026-04-22,NH-48,Bus,Rain,Major,Noida,8
124,2026-01-21,NH-48,Truck,Rain,Major,Faridabad,7
125,2026-05-12,NH-48,SUV,Fog,Major,Gurugram,4
126,2026-05-13,GT Road,Car,Fog,Minor,Gurugram,3
127,2026-01-01,Ring Road,Car,Clear,Minor,Noida,3
128,2026-02-06,Sohna Road,Car,Rain,Fatal,Gurugram,7
129,2026-04-03,GT Road,Bike,Rain,Fatal,Faridabad,7
130,2026-01-14,Ring Road,Car,Rain,Major,Faridabad,5
131,2026-03-30,Airport Road,Truck,Cloudy,Major,Noida,6
132,2026-02-16,Sohna Road,Bike,Clear,Major,Faridabad,6
133,2026-02-22,NH-48,Bike,Clear,Minor,Gurugram,1
134,2026-06-22,NH-48,Car,Fog,Fatal,Noida,1
135,2026-02-21,GT Road,Bike,Cloudy,Fatal,Faridabad,4
136,2026-02-08,MG Road,Bike,Clear,Major,Faridabad,4
137,2026-04-04,Sohna Road,Truck,Rain,Minor,Gurugram,4
138,2026-04-19,MG Road,Truck,Cloudy,Minor,Noida,4
139,2026-06-14,NH-48,Bike,Fog,Minor,Delhi,1
140,2026-02-26,Airport Road,Car,Clear,Major,Gurugram,7
141,2026-01-03,Airport Road,Truck,Fog,Major,Noida,5
142,2026-03-13,Ring Road,SUV,Rain,Fatal,Delhi,8
143,2026-04-22,Sohna Road,SUV,Clear,Major,Delhi,0
144,2026-02-26,NH-48,SUV,Clear,Fatal,Noida,7
145,2026-01-26,GT Road,Bike,Rain,Fatal,Delhi,8
146,2026-05-03,Airport Road,Bus,Cloudy,Major,Noida,2
147,2026-06-25,Ring Road,SUV,Rain,Major,Noida,2
148,2026-03-08,NH-48,Bike,Rain,Major,Faridabad,2
149,2026-05-19,NH-48,Bike,Cloudy,Minor,Faridabad,3
150,2026-03-22,MG Road,Car,Clear,Fatal,Noida,1
